onset	duration	sample	trial_type	stim_file	value	event_code
49659.935845	0.000000	0	"control"	"n/a"	32800	"Audio_0ms_Preset_Engaged"
49661.837641	0.000000	0	"control"	"n/a"	8	"Key_Space"
49661.841084	0.000000	0	"control"	"n/a"	32768	"Instructions_End"
49661.869802	0.000000	0	"control"	"n/a"	32	"MIDI_SET_Preset_ms=100"
49661.880483	0.000000	0	"speech"	"n/a"	32769	"Fixation_Cross_Onset"
49663.882560	0.000000	0	"speech"	"n/a"	4	"DAF_On_cmd(ms=100)"
49663.898478	0.000000	0	"speech"	"The photographer crouched carefully, adjusting her focus on the flickering candle flame."	32770	"Visual Onset"
49673.920893	0.000000	0	"speech"	"n/a"	4	"DAF_Off_cmd"
49673.929011	0.000000	0	"speech"	"n/a"	32770	"Visual Off"
49673.941135	0.000000	0	"control"	"n/a"	32	"MIDI_SET_Preset_ms=0"
49673.948914	0.000000	0	"speech"	"n/a"	32769	"Fixation_Cross_Onset"
49676.134677	0.000000	0	"speech"	"n/a"	4	"DAF_On_cmd(ms=0)"
49676.147354	0.000000	0	"speech"	"Heavy traffic thinned slowly as headlights shimmered on the slick city streets."	32770	"Visual Onset"
49686.159098	0.000000	0	"speech"	"n/a"	4	"DAF_Off_cmd"
49686.170506	0.000000	0	"speech"	"n/a"	32770	"Visual Off"
49686.185302	0.000000	0	"control"	"n/a"	32	"MIDI_SET_Preset_ms=100"
49686.191794	0.000000	0	"speech"	"n/a"	32769	"Fixation_Cross_Onset"
49687.977743	0.000000	0	"speech"	"n/a"	4	"DAF_On_cmd(ms=100)"
49687.983999	0.000000	0	"speech"	"Bright leaves fluttered briefly before falling into the shallow stream below."	32770	"Visual Onset"
49689.312404	0.000000	0	"speech"	"n/a"	16	"Key_Esc"
