onset	duration	sample	trial_type	stim_file	value	event_code
49659.945258	0.000000	0	"control"	"n/a"	32800	"Audio_0ms_Preset_Engaged"
49660.971131	0.000000	0	"control"	"n/a"	8	"Key_Space"
49660.973084	0.000000	0	"control"	"n/a"	32768	"Instructions_End"
49660.992624	0.000000	0	"control"	"n/a"	32	"MIDI_SET_Preset_ms=0"
49661.000913	0.000000	0	"speech"	"n/a"	32769	"Fixation_Cross_Onset"
49665.087804	0.000000	0	"speech"	"n/a"	4	"DAF_On_cmd(ms=0)"
49665.098658	0.000000	0	"speech"	"Heavy traffic thinned slowly as headlights shimmered on the slick city streets."	32770	"Visual Onset"
49675.109807	0.000000	0	"speech"	"n/a"	4	"DAF_Off_cmd"
49675.122037	0.000000	0	"speech"	"n/a"	32770	"Visual Off"
49675.148003	0.000000	0	"control"	"n/a"	32	"MIDI_SET_Preset_ms=100"
49675.155578	0.000000	0	"speech"	"n/a"	32769	"Fixation_Cross_Onset"
49679.286801	0.000000	0	"speech"	"n/a"	4	"DAF_On_cmd(ms=100)"
49679.298661	0.000000	0	"speech"	"Three travelers trudged through thick fog, tracing the faint trail toward the village."	32770	"Visual Onset"
49689.311938	0.000000	0	"speech"	"n/a"	4	"DAF_Off_cmd"
49689.320097	0.000000	0	"speech"	"n/a"	32770	"Visual Off"
49689.345661	0.000000	0	"control"	"n/a"	32	"MIDI_SET_Preset_ms=0"
49689.353373	0.000000	0	"speech"	"n/a"	32769	"Fixation_Cross_Onset"
49692.522396	0.000000	0	"speech"	"n/a"	4	"DAF_On_cmd(ms=0)"
49692.532400	0.000000	0	"speech"	"Three travelers trudged through thick fog, tracing the faint trail toward the village."	32770	"Visual Onset"
49702.542297	0.000000	0	"speech"	"n/a"	4	"DAF_Off_cmd"
49702.554210	0.000000	0	"speech"	"n/a"	32770	"Visual Off"
49702.579936	0.000000	0	"control"	"n/a"	32	"MIDI_SET_Preset_ms=100"
49702.586772	0.000000	0	"speech"	"n/a"	32769	"Fixation_Cross_Onset"
49708.908161	0.000000	0	"speech"	"n/a"	4	"DAF_On_cmd(ms=100)"
49708.922053	0.000000	0	"speech"	"Crickets chirped sporadically in the damp grass after the sudden rainfall."	32770	"Visual Onset"
49718.933618	0.000000	0	"speech"	"n/a"	4	"DAF_Off_cmd"
49718.942505	0.000000	0	"speech"	"n/a"	32770	"Visual Off"
49718.965912	0.000000	0	"control"	"n/a"	32	"MIDI_SET_Preset_ms=100"
49718.972702	0.000000	0	"speech"	"n/a"	32769	"Fixation_Cross_Onset"
49722.065227	0.000000	0	"speech"	"n/a"	4	"DAF_On_cmd(ms=100)"
49722.074053	0.000000	0	"speech"	"The photographer crouched carefully, adjusting her focus on the flickering candle flame."	32770	"Visual Onset"
49732.084422	0.000000	0	"speech"	"n/a"	4	"DAF_Off_cmd"
49732.093020	0.000000	0	"speech"	"n/a"	32770	"Visual Off"
49732.115564	0.000000	0	"control"	"n/a"	32	"MIDI_SET_Preset_ms=0"
49732.122419	0.000000	0	"speech"	"n/a"	32769	"Fixation_Cross_Onset"
49734.698033	0.000000	0	"speech"	"n/a"	4	"DAF_On_cmd(ms=0)"
49734.708837	0.000000	0	"speech"	"Bright leaves fluttered briefly before falling into the shallow stream below."	32770	"Visual Onset"
49744.723459	0.000000	0	"speech"	"n/a"	4	"DAF_Off_cmd"
49744.733122	0.000000	0	"speech"	"n/a"	32770	"Visual Off"
49744.756768	0.000000	0	"control"	"n/a"	32	"MIDI_SET_Preset_ms=0"
49744.777828	0.000000	0	"speech"	"n/a"	32769	"Fixation_Cross_Onset"
49747.409199	0.000000	0	"speech"	"n/a"	4	"DAF_On_cmd(ms=0)"
49747.420627	0.000000	0	"speech"	"The librarian whispered instructions while shelving books along the quiet corridor."	32770	"Visual Onset"
49757.431212	0.000000	0	"speech"	"n/a"	4	"DAF_Off_cmd"
49757.443095	0.000000	0	"speech"	"n/a"	32770	"Visual Off"
49757.466064	0.000000	0	"control"	"n/a"	32	"MIDI_SET_Preset_ms=100"
49757.472747	0.000000	0	"speech"	"n/a"	32769	"Fixation_Cross_Onset"
49763.056885	0.000000	0	"speech"	"n/a"	4	"DAF_On_cmd(ms=100)"
49763.067617	0.000000	0	"speech"	"The professor paused mid-lecture, scanning the room for a raised hand."	32770	"Visual Onset"
49773.077578	0.000000	0	"speech"	"n/a"	4	"DAF_Off_cmd"
49773.089991	0.000000	0	"speech"	"n/a"	32770	"Visual Off"
49773.110077	0.000000	0	"control"	"n/a"	32	"MIDI_SET_Preset_ms=0"
49773.117085	0.000000	0	"speech"	"n/a"	32769	"Fixation_Cross_Onset"
49782.543396	0.000000	0	"speech"	"n/a"	4	"DAF_On_cmd(ms=0)"
49782.551960	0.000000	0	"speech"	"A careless driver splashed muddy water across the line of waiting pedestrians."	32770	"Visual Onset"
49792.560788	0.000000	0	"speech"	"n/a"	4	"DAF_Off_cmd"
49792.570690	0.000000	0	"speech"	"n/a"	32770	"Visual Off"
49792.588175	0.000000	0	"control"	"n/a"	32	"MIDI_SET_Preset_ms=0"
49792.595825	0.000000	0	"speech"	"n/a"	32769	"Fixation_Cross_Onset"
49797.876494	0.000000	0	"speech"	"n/a"	4	"DAF_On_cmd(ms=0)"
49797.886377	0.000000	0	"speech"	"Wind swept through the hallway, rattling loose papers across the polished floor."	32770	"Visual Onset"
49807.894144	0.000000	0	"speech"	"n/a"	4	"DAF_Off_cmd"
49807.907381	0.000000	0	"speech"	"n/a"	32770	"Visual Off"
49807.923893	0.000000	0	"control"	"n/a"	32	"MIDI_SET_Preset_ms=100"
49807.931187	0.000000	0	"speech"	"n/a"	32769	"Fixation_Cross_Onset"
49812.721861	0.000000	0	"speech"	"n/a"	4	"DAF_On_cmd(ms=100)"
49812.732747	0.000000	0	"speech"	"The tired runner stretched her legs and stared across the silent field."	32770	"Visual Onset"
