onset	duration	sample	trial_type	stim_file	value	event_code
59411.613601	0.000000	0	"control"	"n/a"	32776	"Key_Space"
59411.620475	0.000000	0	"n/a"	"n/a"	0	"Instructions_End"
59411.711554	0.000000	0	"speech"	"n/a"	32769	"Fixation_Cross_Onset"
59411.713988	0.000000	0	"speech"	"n/a"	4	"DAF_On_cmd(ms=0)"
59413.818314	0.000000	0	"speech"	"Bumbling bees buzzed between beautiful roses and thorny brambles. Friendly neighbors fought fierce arguments over backyard fence boundaries."	32770	"Visual Onset"
59411.747401	0.000000	0	"engine"	"START"	4	"DAF_Engine_Applied"
59423.831838	0.000000	0	"speech"	"n/a"	32772	"DAF_Off_cmd"
59423.842461	0.000000	0	"speech"	"n/a"	2	"Visual Off"
59423.875053	0.000000	0	"speech"	"n/a"	32769	"Fixation_Cross_Onset"
59423.877305	0.000000	0	"speech"	"n/a"	4	"DAF_On_cmd(ms=0)"
59423.849933	0.000000	0	"engine"	"STOP"	32772	"DAF_Engine_Applied"
59425.747409	0.000000	0	"speech"	"Flickering lights frustrated the focused photographer's careful composition attempts. Giggling children grabbed colorful balloons from the party decorator."	2	"Visual Onset"
59423.902359	0.000000	0	"engine"	"START"	32772	"DAF_Engine_Applied"
59433.369142	0.000000	0	"speech"	"n/a"	16	"Key_Esc"
