onset	duration	sample	trial_type	stim_file	value	event_code
59420.934174	0.000000	0	"control"	"n/a"	32776	"Key_Space"
59420.940739	0.000000	0	"n/a"	"n/a"	0	"Instructions_End"
59421.011937	0.000000	0	"speech"	"n/a"	32769	"Fixation_Cross_Onset"
59421.013980	0.000000	0	"speech"	"n/a"	4	"DAF_On_cmd(ms=100)"
59422.962918	0.000000	0	"speech"	"Slippery salamanders crawled quickly through twisted forest pathways. Brilliant butterflies danced gracefully around blooming magnolia trees."	32770	"Visual Onset"
59421.024655	0.000000	0	"engine"	"START"	4	"DAF_Engine_Applied"
59432.977449	0.000000	0	"speech"	"n/a"	32772	"DAF_Off_cmd"
59432.986152	0.000000	0	"speech"	"n/a"	2	"Visual Off"
59433.016736	0.000000	0	"speech"	"n/a"	32769	"Fixation_Cross_Onset"
59433.018720	0.000000	0	"speech"	"n/a"	4	"DAF_On_cmd(ms=0)"
59432.982520	0.000000	0	"engine"	"STOP"	32772	"DAF_Engine_Applied"
59434.889889	0.000000	0	"speech"	"Sparkling streams splashed softly against smooth limestone river rocks. Playful pandas picked perfectly ripe bamboo shoots for breakfast."	2	"Visual Onset"
59433.019853	0.000000	0	"engine"	"START"	32772	"DAF_Engine_Applied"
