onset	duration	sample	trial_type	stim_file	value	event_code
79592.759798	0.000000	0	"control"	"n/a"	32776	"Key_Space"
79592.772443	0.000000	0	"control"	"n/a"	0	"Instructions_End"
79593.231744	0.000000	0	"speech"	"n/a"	32769	"Fixation_Cross_Onset"
79595.403597	0.000000	0	"speech"	"The child chased a shiny balloon drifting higher into the pale afternoon sky."	2	"Visual Onset"
79605.433519	0.000000	0	"speech"	"n/a"	32770	"Visual Off"
79608.455638	0.000000	0	"speech"	"n/a"	1	"Fixation_Cross_Onset"
79610.412179	0.000000	0	"speech"	"Rolling waves crashed steadily against the rocky shoreline under the fading light."	32770	"Visual Onset"
79620.435150	0.000000	0	"speech"	"n/a"	2	"Visual Off"
79622.498459	0.000000	0	"speech"	"n/a"	32769	"Fixation_Cross_Onset"
79624.374647	0.000000	0	"speech"	"The teacher tapped the table twice before telling the students to settle down."	2	"Visual Onset"
79625.613849	0.000000	0	"speech"	"n/a"	32784	"Key_Esc"
