onset	duration	sample	trial_type	stim_file	value	event_code
59408.527776	0.000000	0	"control"	"n/a"	32776	"Key_Space"
59408.531877	0.000000	0	"n/a"	"n/a"	0	"Instructions_End"
59408.627475	0.000000	0	"speech"	"n/a"	32769	"Fixation_Cross_Onset"
59408.629204	0.000000	0	"speech"	"n/a"	4	"DAF_On_cmd(ms=0)"
59410.609657	0.000000	0	"speech"	"Marching bands made magnificent music throughout the crowded stadium. Dancing dolphins dove through crystal clear tropical ocean waters."	32770	"Visual Onset"
59408.645334	0.000000	0	"engine"	"START"	4	"DAF_Engine_Applied"
59420.620162	0.000000	0	"speech"	"n/a"	32772	"DAF_Off_cmd"
59420.629941	0.000000	0	"speech"	"n/a"	2	"Visual Off"
59420.658936	0.000000	0	"speech"	"n/a"	32769	"Fixation_Cross_Onset"
59420.661220	0.000000	0	"speech"	"n/a"	4	"DAF_On_cmd(ms=0)"
59420.641890	0.000000	0	"engine"	"STOP"	32772	"DAF_Engine_Applied"
59422.715333	0.000000	0	"speech"	"Spinning wheels created intricate patterns on expensive Persian carpets. Happy hunters hurried through thick underbrush seeking elusive deer."	2	"Visual Onset"
59420.685292	0.000000	0	"engine"	"START"	32772	"DAF_Engine_Applied"
59422.723858	0.000000	0	"speech"	"n/a"	16	"Key_Esc"
