onset	duration	sample	trial_type	stim_file	value	event_code
49659.937504	0.000000	0	"control"	"n/a"	32800	"Audio_0ms_Preset_Engaged"
49662.986046	0.000000	0	"control"	"n/a"	8	"Key_Space"
49662.990486	0.000000	0	"control"	"n/a"	32768	"Instructions_End"
49663.017974	0.000000	0	"control"	"n/a"	32	"MIDI_SET_Preset_ms=100"
49663.024359	0.000000	0	"speech"	"n/a"	32769	"Fixation_Cross_Onset"
49664.802444	0.000000	0	"speech"	"n/a"	4	"DAF_On_cmd(ms=100)"
49664.813654	0.000000	0	"speech"	"The teacher tapped the table twice before telling the students to settle down."	32770	"Visual Onset"
49674.826732	0.000000	0	"speech"	"n/a"	4	"DAF_Off_cmd"
49674.834713	0.000000	0	"speech"	"n/a"	32770	"Visual Off"
49678.265360	0.000000	0	"control"	"n/a"	32	"MIDI_SET_Preset_ms=100"
49678.271536	0.000000	0	"speech"	"n/a"	32769	"Fixation_Cross_Onset"
49680.473938	0.000000	0	"speech"	"n/a"	4	"DAF_On_cmd(ms=100)"
49680.486545	0.000000	0	"speech"	"The waiter balanced three plates carefully as laughter echoed across the restaurant."	32770	"Visual Onset"
49685.170697	0.000000	0	"speech"	"n/a"	16	"Key_Esc"
